URL,Filters,,,,,,,,,,,,,,
https://app.dealroom.co/investors/f/all_slug_locations/anyof_~united_states~/company_status/not_closed/investor_type/anyof_accelerator?selectedColumns=name%2CpreferredRound%2ChqLocations%2CdealSizeEnhanced%2CinvestorNumberOfRoundsIndustry%2CinvestorTotalFundingEnhanced%2CinvestorPorfolioSize%2CinvestmentsValuationEnhanced%2Cinvestments%2CinvestorExitsNum%2CinvestorExitScore%2CinvestorExitsFundingEnhanced%2ClpInvestmentsNum%2ClpInvestments&sort=-rounds_count_12_months&investorNumberOfRoundsIndustry=rounds_count_12_months&heatMapType=&groupId=1413&id=92070,Include All locations: United states; Investor type: Accelerator; Exclude Company status: Closed,,,,,,,,,,,,,,
ID,Type,Dealroom URL,Website,Name,HQ region,HQ country,HQ city,Sectors of focus,Launch year,Last round date,Portfolio size,Rounds number (12 months),Exits total (USD M),Exits number,Total value of current portfolio (USD M)
3098766,accelerator,https://app.dealroom.co/investors/ai_grant_,http://aigrant.org,AI Grant,North America,United States,San Francisco,,2017,Apr/2026,19,1,,,2307.4
3077371,accelerator,https://app.dealroom.co/investors/prospect_innovation,https://prospectinnovation.com,Prospect Innovation,Asia,Singapore,,,2018,Sep/2025,36,1,120,0,1343.77
3007151,accelerator,https://app.dealroom.co/investors/maryland_industrial_partnerships,http://mips.umd.edu,Maryland Industrial Partnerships,North America,United States,Potomac,,,Aug/2026,199,1,16012.6,0,6425.45
2989759,accelerator,https://app.dealroom.co/investors/harvard_innovation_labs,http://innovationlabs.harvard.edu,Harvard Innovation Labs,North America,United States,Cambridge,,,Jan/2026,77,1,,0,23400.73
2750077,accelerator,https://app.dealroom.co/investors/bonbillo,http://bonbillo.com,Bonbillo,North America,United States,Boston,,2017,Aug/2025,3,0,,,26.4
2116610,accelerator,https://app.dealroom.co/investors/launch_5,http://uclaunch.com,LAUNCH,North America,United States,Berkeley,,1998,Jul/2026,4,1,,0,
2116152,accelerator,https://app.dealroom.co/investors/koffman_southern_tier_incubator,http://thekoffman.com,Koffman Southern Tier Incubator,North America,United States,Binghamton,,2017,Feb/2026,85,1,,0,412.05
2115364,accelerator,https://app.dealroom.co/investors/the_batchery_1,http://batchery.com,The Batchery,North America,United States,Berkeley,,2014,Feb/2026,67,1,,0,209.51
2006006,accelerator,https://app.dealroom.co/investors/startup_colorado_1,http://startupcolorado.org,Startup Colorado,North America,United States,Durango,,2011,Oct/2025,24,1,,,4
1957060,accelerator,https://app.dealroom.co/investors/colab_1,https://thecompanylab.org,Colab,North America,United States,Chattanooga,,2010,Jul/2025,3,0,,,8.08
1815792,accelerator,https://app.dealroom.co/investors/the_audacious_project,https://audaciousproject.org/,The Audacious Project,North America,United States,Syracuse,,2018,Aug/2026,4,1,,,
1691414,accelerator,https://app.dealroom.co/investors/central_new_york_biotech_accelerator,http://cnybac.com,Central New York Biotech Accelerator,North America,United States,Syracuse,,2013,Nov/2025,34,1,,,128.23
1686728,accelerator,https://app.dealroom.co/investors/mhub_1,https://mhub.org,MHUB,North America,United States,Chicago,automotive;consumer electronics;aerospace;autonomous mobility;product development;non-profit;product research;communication hardware;smart home,2016,Sep/2025,56,1,,0,87.41
1408076,accelerator,https://app.dealroom.co/investors/xontogeny,http://xontogeny.com,Xontogeny,North America,United States,Boston,biotech and pharma;biotechnology,2016,Sep/2025,32,1,14008.55,0,3150.6
1278847,accelerator,https://app.dealroom.co/investors/expert_dojo,http://expertdojo.com,Expert Dojo,North America,United States,Santa Monica,shoes,2014,Nov/2025,257,1,80,0,656.02
